"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"273","tt0219653","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Dracula 2000","Feature Film","Patrick Lussier","","4.9","99","2000","action, fantasy, horror, thriller","27187","2000-12-22","http://www.imdb.com/title/tt0219653/"
"274","tt0303816","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Cabin Fever","Feature Film","Eli Roth","","5.6","93","2002","comedy, horror","61670","2002-09-14","http://www.imdb.com/title/tt0303816/"
"275","tt0416315","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Wolf Creek","Feature Film","Greg Mclean","","6.3","99","2005","horror","55336","2005-01","http://www.imdb.com/title/tt0416315/"
"276","tt0402901","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The Cave","Feature Film","Bruce Hunt","","5.1","97","2005","adventure, horror, thriller","28354","2005-08-26","http://www.imdb.com/title/tt0402901/"
"277","tt0454970","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Turistas","Feature Film","John Stockwell","","5.3","93","2006","horror, mystery, thriller","30947","2006-12-01","http://www.imdb.com/title/tt0454970/"
"278","tt1232783","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Sorority Row","Feature Film","Stewart Hendler","","5.1","101","2009","horror, mystery","23813","2009-09-09","http://www.imdb.com/title/tt1232783/"
"279","tt0872230","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","My Soul to Take","Feature Film","Wes Craven","","4.8","107","2010","horror, mystery, thriller","16266","2010-10-07","http://www.imdb.com/title/tt0872230/"
"280","tt1712159","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","11-11-11","Feature Film","Darren Lynn Bousman","","4.0","90","2011","horror, mystery, thriller","11013","2011-11-01","http://www.imdb.com/title/tt1712159/"
"281","tt1017464","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The Tortured","Feature Film","Robert Lieberman","","5.5","79","2010","horror, thriller","5739","2010-08-28","http://www.imdb.com/title/tt1017464/"
"282","tt0462362","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The Insatiable","Feature Film","Chuck Konzelman, Cary Solomon","","5.6","103","2006","comedy, horror, romance, thriller","1272","2006-11","http://www.imdb.com/title/tt0462362/"
"283","tt0960890","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Zombie Strippers","Feature Film","Jay Lee","","4.1","94","2008","comedy, horror, sci_fi","15654","2008-02-23","http://www.imdb.com/title/tt0960890/"
"284","tt0857376","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Gabriel","Feature Film","Shane Abbess","","5.7","114","2007","action, fantasy, horror, thriller","12169","2007-11-15","http://www.imdb.com/title/tt0857376/"
"285","tt0896534","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Deadgirl","Feature Film","Marcel Sarmiento, Gadi Harel","","5.7","101","2008","horror, romance","15273","2008-09-06","http://www.imdb.com/title/tt0896534/"
"286","tt0074486","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Eraserhead","Feature Film","David Lynch","","7.4","89","1977","fantasy, horror, sci_fi","68539","1977-03-19","http://www.imdb.com/title/tt0074486/"
"287","tt0086541","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Videodrome","Feature Film","David Cronenberg","8","7.3","87","1983","horror, sci_fi","59507","1983-02-04","http://www.imdb.com/title/tt0086541/"
"288","tt0096734","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The 'Burbs","Feature Film","Joe Dante","","6.8","101","1989","comedy, mystery, thriller","50524","1989-02-17","http://www.imdb.com/title/tt0096734/"
"289","tt0099582","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Flatliners","Feature Film","Joel Schumacher","7","6.5","115","1990","drama, horror, sci_fi, thriller","61411","1990-08-10","http://www.imdb.com/title/tt0099582/"
"290","tt0164181","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Stir of Echoes","Feature Film","David Koepp","5","7.0","99","1999","horror, mystery, thriller","61997","1999-07-28","http://www.imdb.com/title/tt0164181/"
"291","tt0430912","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Basic Instinct 2","Feature Film","Michael Caton-Jones","","4.2","114","2006","crime, mystery, thriller","30878","2006-03-21","http://www.imdb.com/title/tt0430912/"
"292","tt0425430","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The Messengers","Feature Film","Danny Pang, Oxide Pang","","5.4","90","2007","drama, horror, thriller","33351","2007-02-02","http://www.imdb.com/title/tt0425430/"
"293","tt0444682","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","The Reaping","Feature Film","Stephen Hopkins","","5.7","99","2007","horror, thriller","37187","2007-03-29","http://www.imdb.com/title/tt0444682/"
"294","tt0479968","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","One Missed Call","Feature Film","Eric Valette","","3.9","87","2008","horror, mystery","26392","2008-01-04","http://www.imdb.com/title/tt0479968/"
"295","tt0926129","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Prom Night","Feature Film","Nelson McCormick","","3.9","88","2008","horror, mystery","27417","2008-04-10","http://www.imdb.com/title/tt0926129/"
"296","tt0482599","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Shutter","Feature Film","Masayuki Ochiai","","5.2","85","2008","horror, mystery, thriller","26255","2008-03-19","http://www.imdb.com/title/tt0482599/"
"297","tt2347497","Sun May 12 17:21:15 2013","Sun May 12 17:21:15 2013","","Silent Night","Feature Film","Steven C. Miller","","5.2","94","2012","comedy, horror, mystery, thriller","5514","2012-11-30","http://www.imdb.com/title/tt2347497/"
"298","tt1735485","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Tunnel","Feature Film","Carlo Ledesma","","5.9","90","2011","horror, mystery, thriller","15213","2011-05-19","http://www.imdb.com/title/tt1735485/"
"299","tt1087461","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Megan Is Missing","Feature Film","Michael Goi","","5.0","85","2011","drama, horror, thriller","6044","2011-05","http://www.imdb.com/title/tt1087461/"
"300","tt1711018","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Vile","Feature Film","Taylor Sheridan","","5.0","90","2011","horror","4227","2011-08-26","http://www.imdb.com/title/tt1711018/"
"301","tt1185266","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Stan Helsing","Feature Film","Bo Zenga","","3.6","108","2009","comedy, horror","9867","2009-10-21","http://www.imdb.com/title/tt1185266/"
"302","tt0848557","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Diary of the Dead","Feature Film","George A. Romero","","5.7","95","2007","horror","40553","2007-09-08","http://www.imdb.com/title/tt0848557/"
"303","tt0082933","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Possession","Feature Film","Andrzej Zulawski","","7.4","124","1981","drama, horror","13016","1981-05-25","http://www.imdb.com/title/tt0082933/"
"304","tt0077713","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","I Spit on Your Grave","Feature Film","Meir Zarchi","","5.7","101","1978","horror, thriller","19803","1978-05-23","http://www.imdb.com/title/tt0077713/"
"305","tt1418377","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","I, Frankenstein","Feature Film","Stuart Beattie","","5.2","92","2014","action, fantasy, sci_fi, thriller","64902","2014-01-20","http://www.imdb.com/title/tt1418377/"
"306","tt0077766","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Jaws 2","Feature Film","Jeannot Szwarc","","5.7","116","1978","adventure, horror, thriller","50112","1978-06-16","http://www.imdb.com/title/tt0077766/"
"307","tt0089175","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Fright Night","Feature Film","Tom Holland","","7.1","106","1985","fantasy, horror, thriller","41904","1985-08-02","http://www.imdb.com/title/tt0089175/"
"308","tt0089907","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Return of the Living Dead","Feature Film","Dan O'Bannon","","7.3","91","1985","comedy, horror, sci_fi","39254","1985-04-25","http://www.imdb.com/title/tt0089907/"
"309","tt0099052","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Arachnophobia","Feature Film","Frank Marshall","5","6.3","103","1990","comedy, fantasy, horror, thriller","49781","1990-07-18","http://www.imdb.com/title/tt0099052/"
"310","tt0099700","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Gremlins 2: The New Batch","Feature Film","Joe Dante","","6.3","106","1990","comedy, fantasy, horror","67141","1990-06-15","http://www.imdb.com/title/tt0099700/"
"311","tt0100944","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Witches","Feature Film","Nicolas Roeg","","6.8","91","1990","adventure, comedy, fantasy, mystery","24128","1990-05-25","http://www.imdb.com/title/tt0100944/"
"312","tt0103893","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Buffy the Vampire Slayer","Feature Film","Fran Rubel Kuzui","","5.6","86","1992","action, comedy, fantasy, horror","32099","1992-07-31","http://www.imdb.com/title/tt0103893/"
"313","tt0109836","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Mary Shelley's Frankenstein","Feature Film","Kenneth Branagh","","6.4","123","1994","drama, horror, romance, sci_fi","42249","1994-11-04","http://www.imdb.com/title/tt0109836/"
"314","tt0130018","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","I Still Know What You Did Last Summer","Feature Film","Danny Cannon","","4.6","100","1998","horror, mystery","54853","1998-11-13","http://www.imdb.com/title/tt0130018/"
"315","tt0146336","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Urban Legend","Feature Film","Jamie Blanks","5","5.5","99","1998","horror, mystery, thriller","47357","1998-09-25","http://www.imdb.com/title/tt0146336/"
"316","tt0120877","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Vampires","Feature Film","John Carpenter","","6.1","108","1998","action, horror, thriller","42219","1998-04-15","http://www.imdb.com/title/tt0120877/"
"317","tt0185371","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","House on Haunted Hill","Feature Film","William Malone","","5.6","93","1999","horror, mystery, thriller","44975","1999-10-27","http://www.imdb.com/title/tt0185371/"
"318","tt0265349","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Mothman Prophecies","Feature Film","Mark Pellington","6","6.5","119","2002","drama, horror, mystery, thriller","63246","2002-01-25","http://www.imdb.com/title/tt0265349/"
"319","tt0257516","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Cursed","Feature Film","Wes Craven","","5.0","97","2005","comedy, horror","25920","2005-02-25","http://www.imdb.com/title/tt0257516/"
"320","tt0432291","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Fog","Feature Film","Rupert Wainwright","","3.6","100","2005","horror","29245","2005-10-14","http://www.imdb.com/title/tt0432291/"
"321","tt1714208","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Woman","Feature Film","Lucky McKee","","6.0","101","2011","horror","16782","2011-01-23","http://www.imdb.com/title/tt1714208/"
"322","tt1525890","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Caller","Feature Film","Matthew Parkhill","","6.1","92","2011","thriller","8597","2011-04-15","http://www.imdb.com/title/tt1525890/"
"323","tt1781775","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Beneath the Darkness","Feature Film","Martin Guigui","","4.5","96","2011","horror, thriller","4856","2011-10-22","http://www.imdb.com/title/tt1781775/"
"324","tt1331307","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Dread","Feature Film","Anthony DiBlasi","","5.7","108","2009","drama, horror, thriller","10158","2009-07-14","http://www.imdb.com/title/tt1331307/"
"325","tt1336006","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Revenant","Feature Film","Kerry Prior","","6.4","117","2009","comedy, fantasy, horror","9389","2009-08-16","http://www.imdb.com/title/tt1336006/"
"326","tt1147684","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Forget Me Not","Feature Film","Tyler Oliver","","5.2","103","2009","horror, romance, thriller","4825","2009-08-24","http://www.imdb.com/title/tt1147684/"
"327","tt0457572","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Fido","Feature Film","Andrew Currie","","6.8","93","2006","comedy, drama, horror, sci_fi","24908","2006-09-07","http://www.imdb.com/title/tt0457572/"
"328","tt0964539","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Pathology","Feature Film","Marc Schölermann","","6.0","95","2008","crime, horror, thriller","26643","2008-04-11","http://www.imdb.com/title/tt0964539/"
"329","tt0242527","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Hole","Feature Film","Nick Hamm","","6.2","102","2001","drama, mystery, thriller","39186","2001-04-20","http://www.imdb.com/title/tt0242527/"
"330","tt1728982","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Untitled Tamela D'Amico Project","Feature Film","","","","","????","horror, thriller","","","http://www.imdb.com/title/tt1728982/"
"331","tt0076786","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Suspiria","Feature Film","Dario Argento","","7.5","98","1977","drama, fantasy, horror, mystery","44884","1977-02-01","http://www.imdb.com/title/tt0076786/"
"332","tt0085382","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Cujo","Feature Film","Lewis Teague","","6.0","93","1983","horror, thriller","26474","1983-08-10","http://www.imdb.com/title/tt0085382/"
"333","tt0089686","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","A Nightmare on Elm Street 2: Freddy's Revenge","Feature Film","Jack Sholder","","5.4","87","1985","fantasy, horror","42850","1985-10","http://www.imdb.com/title/tt0089686/"
"334","tt0095742","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","A Nightmare on Elm Street 4: The Dream Master","Feature Film","Renny Harlin","","5.6","93","1988","fantasy, horror, thriller","35619","1988-08-19","http://www.imdb.com/title/tt0095742/"
"335","tt0099253","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Child's Play 2","Feature Film","John Lafia","","5.7","84","1990","fantasy, horror","30901","1990-11-09","http://www.imdb.com/title/tt0099253/"
"336","tt0097737","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Leviathan","Feature Film","George P. Cosmatos","","5.7","98","1989","adventure, horror, mystery, sci_fi, thriller","12801","1989-03-17","http://www.imdb.com/title/tt0097737/"
"337","tt0101917","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Freddy's Dead: The Final Nightmare","Feature Film","Rachel Talalay","","4.9","89","1991","comedy, horror, thriller","30337","1991-09-05","http://www.imdb.com/title/tt0101917/"
"338","tt0111686","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","New Nightmare","Feature Film","Wes Craven","","6.4","112","1994","fantasy, horror, mystery, thriller","37711","1994-08","http://www.imdb.com/title/tt0111686/"
"339","tt0113409","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","In the Mouth of Madness","Feature Film","John Carpenter","","7.2","95","1994","fantasy, horror, mystery, thriller","42710","1994-12","http://www.imdb.com/title/tt0113409/"
"340","tt0138510","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Idle Hands","Feature Film","Rodman Flender","","6.2","92","1999","comedy, horror, thriller","33505","1999-04-30","http://www.imdb.com/title/tt0138510/"
"341","tt0228333","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Ghosts of Mars","Feature Film","John Carpenter","","4.9","98","2001","action, horror, sci_fi","42596","2001-08-24","http://www.imdb.com/title/tt0228333/"
"342","tt0383222","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","BloodRayne","Feature Film","Uwe Boll","","2.9","95","2005","action, adventure, fantasy, horror","30479","2005-10-23","http://www.imdb.com/title/tt0383222/"
"343","tt0433386","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Grudge 2","Feature Film","Takashi Shimizu","","5.0","102","2006","horror, thriller","38240","2006-10-12","http://www.imdb.com/title/tt0433386/"
"344","tt0441796","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Stay Alive","Feature Film","William Brent Bell","","5.1","85","2006","horror, thriller","25688","2006-03-24","http://www.imdb.com/title/tt0441796/"
"345","tt1833844","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Berberian Sound Studio","Feature Film","Peter Strickland","","6.2","92","2012","drama, horror, thriller","9756","2012-06-28","http://www.imdb.com/title/tt1833844/"
"346","tt1650042","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Dead Season","Feature Film","Adam Deyoe","","4.8","85","2012","horror, sci_fi","2752","2012-05-15","http://www.imdb.com/title/tt1650042/"
"347","tt1699231","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Quarantine 2: Terminal","Feature Film","John G. Pogue","","5.3","86","2011","horror, mystery, sci_fi, thriller","14660","2011-01-27","http://www.imdb.com/title/tt1699231/"
"348","tt1756851","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Twixt","Feature Film","Francis Ford Coppola","","4.8","88","2011","comedy, fantasy, horror, mystery","8498","2011-09-11","http://www.imdb.com/title/tt1756851/"
"349","tt1316037","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Birdemic: Shock and Terror","Feature Film","James Nguyen","","1.8","105","2010","horror, romance, thriller","13851","2010-02-27","http://www.imdb.com/title/tt1316037/"
"350","tt1391034","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","And Soon the Darkness","Feature Film","Marcos Efron","","5.2","91","2010","crime, horror, mystery, thriller","13497","2010-12-17","http://www.imdb.com/title/tt1391034/"
"351","tt1020885","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Vampire Killers","Feature Film","Phil Claydon","","5.2","86","2009","action, comedy, fantasy, horror","17167","2009-03-16","http://www.imdb.com/title/tt1020885/"
"352","tt1023500","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Doghouse","Feature Film","Jake West","","6.1","89","2009","comedy, horror, sci_fi","18294","2009-06-12","http://www.imdb.com/title/tt1023500/"
"353","tt0812352","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Nine Miles Down","Feature Film","Anthony Waller","","5.5","86","2009","horror, mystery, thriller","2621","2009-10-31","http://www.imdb.com/title/tt0812352/"
"354","tt0806027","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Blood: The Last Vampire","Feature Film","Chris Nahon","","5.3","91","2009","action, horror, thriller","13094","2009-04-02","http://www.imdb.com/title/tt0806027/"
"355","tt0779982","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Black Sheep","Feature Film","Jonathan King","","5.8","87","2006","comedy, horror, sci_fi","34444","2006-09-10","http://www.imdb.com/title/tt0779982/"
"356","tt1031280","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Splinter","Feature Film","Toby Wilkins","","6.1","82","2008","horror, sci_fi, thriller","26345","2008-10-31","http://www.imdb.com/title/tt1031280/"
"357","tt1174954","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Resident Evil: Degeneration","Feature Film","Makoto Kamiya","","6.6","97","2008","animation, action, horror, sci_fi, thriller","24345","2008-10-17","http://www.imdb.com/title/tt1174954/"
"358","tt0490076","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","All the Boys Love Mandy Lane","Feature Film","Jonathan Levine","","5.6","90","2006","horror","25667","2006-09-09","http://www.imdb.com/title/tt0490076/"
"359","tt0280609","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Dog Soldiers","Feature Film","Neil Marshall","","6.9","105","2002","action, fantasy, horror, thriller","45107","2002-03-22","http://www.imdb.com/title/tt0280609/"
"360","tt0081455","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Scanners","Feature Film","David Cronenberg","7","6.8","103","1981","action, horror, sci_fi, thriller","34523","1981-01-14","http://www.imdb.com/title/tt0081455/"
"361","tt0080749","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Fog","Feature Film","John Carpenter","5","6.8","89","1980","fantasy, horror","45882","1980-01","http://www.imdb.com/title/tt0080749/"
"362","tt0082418","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Friday the 13th Part 2","Feature Film","Steve Miner","5","6.1","87","1981","horror, mystery, thriller","39062","1981-04-27","http://www.imdb.com/title/tt0082418/"
"363","tt0082495","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Halloween II","Feature Film","Rick Rosenthal","","6.5","92","1981","horror","50155","1981-10-30","http://www.imdb.com/title/tt0082495/"
"364","tt0086154","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Psycho II","Feature Film","Richard Franklin","","6.4","113","1983","crime, horror, mystery, thriller","16697","1983-06-03","http://www.imdb.com/title/tt0086154/"
"365","tt0112896","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Dracula: Dead and Loving It","Feature Film","Mel Brooks","","5.8","88","1995","comedy, fantasy, horror","29851","1995-12-22","http://www.imdb.com/title/tt0112896/"
"366","tt0119675","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Mimic","Feature Film","Guillermo del Toro","","5.9","105","1997","horror, sci_fi","36443","1997-06","http://www.imdb.com/title/tt0119675/"
"367","tt0139414","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Lake Placid","Feature Film","Steve Miner","","5.6","82","1999","action, comedy, horror","42171","1999-07-15","http://www.imdb.com/title/tt0139414/"
"368","tt0282209","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Darkness Falls","Feature Film","Jonathan Liebesman","","4.9","86","2003","horror, mystery, thriller","25671","2003-01-24","http://www.imdb.com/title/tt0282209/"
"369","tt0366174","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Anacondas: The Hunt for the Blood Orchid","Feature Film","Dwight Little","","4.6","97","2004","action, adventure, horror, thriller","21946","2004-08-25","http://www.imdb.com/title/tt0366174/"
"370","tt0369226","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Alone in the Dark","Feature Film","Uwe Boll","","2.3","96","2005","horror, sci_fi","37410","2005-01-28","http://www.imdb.com/title/tt0369226/"
"371","tt0375210","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","White Noise","Feature Film","Geoffrey Sax","5","5.5","101","2005","drama, horror, mystery, thriller","41515","2005-01-07","http://www.imdb.com/title/tt0375210/"
"372","tt0454919","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Pulse","Feature Film","Jim Sonzero","","4.7","90","2006","drama, horror, sci_fi, thriller","24846","2006-08-11","http://www.imdb.com/title/tt0454919/"
"373","tt0804516","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","P2","Feature Film","Franck Khalfoun","","5.9","98","2007","crime, horror, thriller","25925","2007-11-09","http://www.imdb.com/title/tt0804516/"
"374","tt1418712","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Outpost: Black Sun","Feature Film","Steve Barker","","5.0","101","2012","action, horror, sci_fi","4171","2012-04-27","http://www.imdb.com/title/tt1418712/"
"375","tt1988781","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","7 Below","Feature Film","Kevin Carraway","","3.2","90","2012","horror","3435","2012-04-17","http://www.imdb.com/title/tt1988781/"
"376","tt1320291","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Reef","Feature Film","Andrew Traucki","","5.8","94","2010","horror, thriller","11623","2010-05-17","http://www.imdb.com/title/tt1320291/"
"377","tt0959329","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Nine Dead","Feature Film","Christopher Shadley","","5.5","98","2010","crime, drama, horror, mystery, thriller","9074","2010-03-09","http://www.imdb.com/title/tt0959329/"
"378","tt1134854","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Survival of the Dead","Feature Film","George A. Romero","","5.0","90","2009","horror","17362","2009-09-09","http://www.imdb.com/title/tt1134854/"
"379","tt1053859","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Grudge 3","Feature Film","Toby Wilkins","","4.7","90","2009","horror, mystery, thriller","12542","2009-05-12","http://www.imdb.com/title/tt1053859/"
"380","tt0479528","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Rogue","Feature Film","John Blush, Greg McLean","","6.2","99","2007","action, adventure, horror, sci_fi, thriller","21151","2007-10-06","http://www.imdb.com/title/tt0479528/"
"381","tt0490181","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Mutant Chronicles","Feature Film","Simon Hunter","","5.2","111","2008","action, adventure, sci_fi","23552","2008-08-07","http://www.imdb.com/title/tt0490181/"
"382","tt0281686","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Bubba Ho-Tep","Feature Film","Don Coscarelli","","7.2","92","2002","comedy, fantasy, mystery","38647","2002-06-09","http://www.imdb.com/title/tt0281686/"
"383","tt0210070","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Ginger Snaps","Feature Film","John Fawcett","","6.8","108","2000","drama, fantasy, horror","32910","2000-08-01","http://www.imdb.com/title/tt0210070/"
"384","tt0088993","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Day of the Dead","Feature Film","George A. Romero","","7.2","96","1985","horror","49099","1985-07-03","http://www.imdb.com/title/tt0088993/"
"385","tt0069089","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Pink Flamingos","Feature Film","John Waters","","6.1","93","1972","comedy, crime, horror","16587","1972-03-17","http://www.imdb.com/title/tt0069089/"
"386","tt0077745","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Invasion of the Body Snatchers","Feature Film","Philip Kaufman","7","7.4","115","1978","horror, sci_fi","36730","1978-12-20","http://www.imdb.com/title/tt0077745/"
"387","tt0086491","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Twilight Zone: The Movie","Feature Film","Joe Dante, John Landis","5","6.5","101","1983","fantasy, horror, sci_fi","25241","1983-06-24","http://www.imdb.com/title/tt0086491/"
"388","tt0091499","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Maximum Overdrive","Feature Film","Stephen King","","5.4","97","1986","action, comedy, horror, sci_fi","22979","1986-07-25","http://www.imdb.com/title/tt0091499/"
"389","tt0093560","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Monster Squad","Feature Film","Fred Dekker","","7.2","82","1987","action, comedy, fantasy, horror","19309","1987-08-14","http://www.imdb.com/title/tt0093560/"
"390","tt0094332","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","The Witches of Eastwick","Feature Film","George Miller","5","6.5","118","1987","comedy, fantasy, horror","47199","1987-06-12","http://www.imdb.com/title/tt0094332/"
"391","tt0097981","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","A Nightmare on Elm Street 5: The Dream Child","Feature Film","Stephen Hopkins","","5.1","89","1989","horror, thriller","29237","1989-08-11","http://www.imdb.com/title/tt0097981/"
"392","tt0100258","Sun May 12 17:21:16 2013","Sun May 12 17:21:16 2013","","Night of the Living Dead","Feature Film","Tom Savini","","6.9","92","1990","horror","30468","1990-10-19","http://www.imdb.com/title/tt0100258/"
