"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"27","tt1939659","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Carrie","Feature Film","Kimberly Peirce","6","5.9","100","2013","drama, fantasy, horror","106831","2013-10-07","http://www.imdb.com/title/tt1939659/"
"28","tt1783732","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","John Dies at the End","Feature Film","Don Coscarelli","","6.4","99","2012","comedy, horror, sci_fi","29479","2012-01-23","http://www.imdb.com/title/tt1783732/"
"29","tt1687901","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Awakening","Feature Film","Nick Murphy","6","6.5","107","2011","horror, thriller","45536","2011-09-16","http://www.imdb.com/title/tt1687901/"
"30","tt0081505","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Shining","Feature Film","Stanley Kubrick","9","8.4","146","1980","drama, horror","600548","1980-05-23","http://www.imdb.com/title/tt0081505/"
"31","tt1817276","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","A Resurrection","Feature Film","Matt Orlando","","4.0","89","2013","horror, thriller","1383","2013-03-22","http://www.imdb.com/title/tt1817276/"
"32","tt0073195","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Jaws","Feature Film","Steven Spielberg","6","8.0","124","1975","adventure, drama, horror, thriller","406076","1975-06-20","http://www.imdb.com/title/tt0073195/"
"33","tt0106308","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Army of Darkness","Feature Film","Sam Raimi","","7.6","81","1992","comedy, fantasy, horror","127250","1992-10-09","http://www.imdb.com/title/tt0106308/"
"34","tt0289043","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","28 Days Later...","Feature Film","Danny Boyle","8","7.6","113","2002","drama, horror, sci_fi, thriller","293544","2002-11-01","http://www.imdb.com/title/tt0289043/"
"35","tt0384537","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Silent Hill","Feature Film","Christophe Gans","","6.6","125","2006","adventure, horror, mystery","171050","2006-04-20","http://www.imdb.com/title/tt0384537/"
"36","tt0884328","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Mist","Feature Film","Frank Darabont","3","7.2","126","2007","horror","217735","2007-11-21","http://www.imdb.com/title/tt0884328/"
"37","tt1591095","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Insidious","Feature Film","James Wan","","6.8","103","2010","fantasy, horror, mystery, thriller","197978","2010-09-14","http://www.imdb.com/title/tt1591095/"
"38","tt1486185","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Red Riding Hood","Feature Film","Catherine Hardwicke","4","5.4","100","2011","fantasy, horror, mystery, thriller","90195","2011-03-07","http://www.imdb.com/title/tt1486185/"
"39","tt1142977","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Frankenweenie","Feature Film","Tim Burton","","7.0","87","2012","animation, comedy, family, horror, sci_fi","72768","2012-09-20","http://www.imdb.com/title/tt1142977/"
"40","tt2109184","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Paranormal Activity 4","Feature Film","Henry Joost, Ariel Schulman","3","4.6","88","2012","horror","50578","2012-10-16","http://www.imdb.com/title/tt2109184/"
